Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time,File_ID,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance,Current_charge,Voltage_charge,type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
4.246711254,0.000252389,6.212696116,0.0002,0,0,1,2.217037892,1.317501385,0.822942702,0.031400604,0.020178818,1.508704788,3.753895595,Charging,2025-01-01 00:00:00,32.44529684,5,2159,UID_0000,Battery_Test_0000.csv,116.9312182,0.00204503,0.09713634
4.246764126,-0.001411065,6.23401887,0.0002,4.262,9.36,1,1.375292322,0.66221485,0.908525048,0.043616953,0.029845525,2.187668576,3.7584125,Charging,2025-01-01 01:00:00,42.99223443,3,1003,UID_0001,Battery_Test_0001.csv,83.62146769,0.005077868,0.098114475
4.039277018,-0.995093412,6.250254736,1,3.465,23.281,1,3.76975134,4.345683679,0.82875053,0.044408135,0.045806692,2.240878375,3.149281098,Normal,2025-01-01 02:00:00,37.45612943,12,1835,UID_0002,Battery_Test_0002.csv,95.38477272,0.005615111,0.022461883
4.019506433,-0.99673106,6.302175659,1,3.451,36.406,1,2.116977224,0.411476793,1.073668872,0.047821586,0.04303536,1.118375095,3.797297124,Faulty,2025-01-01 03:00:00,36.45220409,23,2413,UID_0003,Battery_Test_0003.csv,104.8572684,0.009633782,0.098918
4.004763261,-0.992844635,6.361644678,1,3.438,49.625,1,4.445972999,1.862454761,0.892052209,0.016657009,0.040836373,1.238784647,3.515447823,Normal,2025-01-01 04:00:00,24.11018724,37,3099,UID_0004,Battery_Test_0004.csv,97.69373553,0.002413098,0.0599237
3.992862708,-0.995956609,6.399692359,1,3.427,62.813,1,4.007062072,3.659447292,0.817034318,0.001326956,0.029223372,1.710643088,4.094432181,Normal,2025-01-01 05:00:00,38.10979023,31,2561,UID_0005,Battery_Test_0005.csv,113.8330841,0.003279668,0.095696128
3.982346795,-0.994664803,6.233613052,1,3.419,75.891,1,2.945807592,2.589201252,0.837222827,0.012720756,0.034808335,1.825554392,3.120266802,Faulty,2025-01-01 06:00:00,41.55246833,2,4678,UID_0006,Battery_Test_0006.csv,93.09032135,0.009152703,0.053370265
3.972457811,-0.998752929,5.984853972,1,3.4,89.031,1,2.294033325,1.799904092,0.925144978,0.033489022,0.029127699,2.000403643,3.978478697,Faulty,2025-01-01 07:00:00,29.92226308,41,2628,UID_0007,Battery_Test_0007.csv,113.735961,0.006848074,0.013819964
3.963740041,-0.994139792,5.857701989,1,3.391,102.141,1,4.073400446,3.417306448,1.16743459,0.042116744,0.034642352,1.748986045,3.446092123,Discharging,2025-01-01 08:00:00,42.00942937,24,2166,UID_0008,Battery_Test_0008.csv,98.22477089,0.004041775,0.088806923
3.955432273,-0.993796863,5.77231317,1,3.386,115.297,1,3.832547168,1.144443294,1.103617199,0.007682284,0.0423851,2.043546094,4.171792921,Charging,2025-01-01 09:00:00,33.86137792,37,2952,UID_0009,Battery_Test_0009.csv,81.85747038,0.00561473,0.074557722
3.947905975,-0.994119861,5.650974084,1,3.381,128.438,1,2.993152016,4.503602442,1.129198521,0.03088137,0.045710616,1.572070568,3.61315647,Faulty,2025-01-01 10:00:00,20.75770638,34,1005,UID_0010,Battery_Test_0010.csv,91.98338815,0.003993435,0.084819128
3.940774901,-0.995193503,5.571673053,1,3.376,141.578,1,4.826639411,2.678017248,1.126045746,0.012205686,0.007099684,2.299884229,3.202488524,Faulty,2025-01-01 11:00:00,26.3248516,18,2869,UID_0011,Battery_Test_0011.csv,102.4784327,0.002539165,0.082288944
3.933846619,-0.995694148,5.51571432,1,3.37,154.719,1,2.071898321,0.495976579,1.052948251,0.006079628,0.030959608,1.927152517,3.407545538,Charging,2025-01-01 12:00:00,25.13485202,2,2538,UID_0012,Battery_Test_0012.csv,82.03855581,0.008263178,0.08810673
3.927392355,-0.994085087,5.456809123,1,3.366,167.813,1,1.664760106,1.459842768,0.894998687,0.0275287,0.010118829,0.868344105,3.383107253,Normal,2025-01-01 13:00:00,42.08121741,49,3915,UID_0013,Battery_Test_0013.csv,105.8311016,0.002176636,0.094512716
3.921197979,-0.995066288,5.378785108,1,3.361,180.906,1,2.221047651,3.438503984,0.829986185,0.009851093,0.027547328,1.30881678,4.122161954,Normal,2025-01-01 14:00:00,22.35335277,28,3989,UID_0014,Battery_Test_0014.csv,100.5556529,0.00746774,0.058687212
